word,count
the,377
in,297
to,240
is,169
bjp,158
this,157
of,148
a,143
and,133
manipur,106
for,106
i,106
with,97
you,96
just,92
today,91
it,90
at,90
on,88
ill,84
rt,83
but,76
img,70
congress,68
govt,66
frankgo,66
jaemin,66
tried,57
have,56
seat,54
downfall,54
topple,53
won,53
lone,53
rajya,53
sabha,53
votes,53
img20plus,53
candidat,52
trending,52
keep,52
lets,52
currently,51
not,49
me,48
higher,48
sweetnight100,47
korea,47
using,47
hashtags,47
trend,47
my,45
they,44
be,43
are,41
that,40
amp,40
do,38
all,35
,34
out,32
im,32
who,32
as,32
their,31
guys,31
your,30
by,30
start,29
will,26
his,26
ello,24
was,24
so,23
only,23
if,23
wants,22
bad,22
from,22
follow,22
when,21
more,21
day,21
know,21
temples,20
one,20
about,20
we,20
stay,20
mask,20
its,19
muslims,19
like,19
an,19
put,19
up,18
them,18
did,18
lives,18
seek,18
