word,count
covid19,510
the,502
in,414
to,358
of,327
and,265
a,237
is,229
for,214
no,203
with,160
tulsa,118
rally,117
on,114
that,104
mask,104
from,103
trumps,103
cdc,100
are,99
social,99
distancing,99
guidelines,99
new,98
indoors,97
requirementsall,97
violation,97
cases,86
this,79
my,79
have,73
has,72
black,68
some,62
found,61
yall,61
i,60
they,57
we,56
more,56
you,55
participants,55
football,53
positive,52
at,51
doctors,51
breaking,50
all,50
workers,49
as,48
be,48
than,45
were,44
essential,44
teachers,43
about,43
not,42
people,42
if,41
pandemic,38
their,38
it,38
florida,38
just,38
president,37
by,37
trump,37
players,36
health,36
im,35
another,35
but,33
s,32
record,32
who,30
test,29
an,29
was,29
deaths,29
every,29
everyone,28
will,27
after,27
please,26
your,26
what,25
so,25
can,25
because,25
amp,25
among,25
been,24
us,24
demanding,23
clemson,23
how,23
now,23
donate,22
our,22
way,22
