id,text,Tweet_punct,word_list
1274018302591934465, @gatorix1: Book 3 had it's highlights despite * 😭 #tgcf https://t.co/yj0d2aE68N,book had its highlights despite tgcf,"['book', 'had', 'its', 'highlights', 'despite', 'tgcf']"
1274018303636377600,@_Mischka Puppy * lol,puppy lol,"['puppy', 'lol']"
1274018322200354823, @tradiactivitat: * Goldman Sachs raises its 12-month gold price forecast to $2000/toz.,goldman sachs raises its 12month gold price forecast to 2000toz,"['goldman', 'sachs', 'raises', 'its', '12month', 'gold', 'price', 'forecast', 'to', '2000toz']"
1274018323231993856,You should see seemingly this is my last time what can happen when zone payments are reported and marked intercepte… https://t.co/qWcdTXLYOZ,you should see seemingly this is my last time what can happen when zone payments are reported and marked intercepte,"['you', 'should', 'see', 'seemingly', 'this', 'is', 'my', 'last', 'time', 'what', 'can', 'happen', 'when', 'zone', 'payments', 'are', 'reported', 'and', 'marked', 'intercepte']"
1274018330924343296,Billy Strings with Circles Around The Sun * All The Luck In The World (N... https://t.co/SngRSwS6LR via @YouTube,billy strings with circles around the sun all the luck in the world n via,"['billy', 'strings', 'with', 'circles', 'around', 'the', 'sun', 'all', 'the', 'luck', 'in', 'the', 'world', 'n', 'via']"
1274018347257118726,"* Grumble. Pulls out 3e Monster Manual *Orcs: Usually Chaotic EvilElf, Drow: Usually Neutral EvilGnoll: Usually… https://t.co/3rG8CUcmyK",grumble pulls out 3e monster manual orcs usually chaotic evilelf drow usually neutral evilgnoll usually,"['grumble', 'pulls', 'out', '3e', 'monster', 'manual', 'orcs', 'usually', 'chaotic', 'evilelf', 'drow', 'usually', 'neutral', 'evilgnoll', 'usually']"
1274018348209041409,* has learned nothing,has learned nothing,"['has', 'learned', 'nothing']"
1274018351950356480, @mvmeet: Congress tried to topple BJP govt in Manipur but:* BJP won the lone Rajya Sabha seat in Manipur with 28 votes* BJP candidat…,congress tried to topple bjp govt in manipur but bjp won the lone rajya sabha seat in manipur with votes bjp candidat,"['congress', 'tried', 'to', 'topple', 'bjp', 'govt', 'in', 'manipur', 'but', 'bjp', 'won', 'the', 'lone', 'rajya', 'sabha', 'seat', 'in', 'manipur', 'with', 'votes', 'bjp', 'candidat']"
1274018361718931458,*mv / music video *,mv music video,"['mv', 'music', 'video']"
1274018362075447296, @drnickgreiner: Words that mean jack shit:* surge* resurgence * wave* second wave* imminentIgnore and carry on.,words that mean jack shit surge resurgence wave second wave imminentignore and carry on,"['words', 'that', 'mean', 'jack', 'shit', 'surge', 'resurgence', 'wave', 'second', 'wave', 'imminentignore', 'and', 'carry', 'on']"
1274018366261391361,⌜ Spotify Premium for sale ⌟  ◯ 1 month — 65    ◯ 3 months — 85  ◯ 8 months — 200  ◯ 12 months — 290    𝐃𝐦 𝐭… https://t.co/8iBql2SpHE,spotify premium for sale month months months months ,"['spotify', 'premium', 'for', 'sale', 'month', 'months', 'months', 'months']"
1274018369453338627,My boo : * breathes *Me : ur so fucking cute give me a kiss,my boo breathes me ur so fucking cute give me a kiss,"['my', 'boo', 'breathes', 'me', 'ur', 'so', 'fucking', 'cute', 'give', 'me', 'a', 'kiss']"
1274018377762131968,"Actually, till the Congress chapter is closed, Mother &amp; Company will not take rest..*They have more problems wit… https://t.co/RmLVpQB8Pj",actually till the congress chapter is closed mother amp company will not take restthey have more problems wit,"['actually', 'till', 'the', 'congress', 'chapter', 'is', 'closed', 'mother', 'amp', 'company', 'will', 'not', 'take', 'restthey', 'have', 'more', 'problems', 'wit']"
1274018382216679425, @MozosGayxxx: 📹 #Belami AMERICAN LOVERS / Christian &amp; Ryan 🍆💦 #TripleGx 😋 👉 https://t.co/KdMoxm9Rwp 👈 https://t.co/EO7BwkszZN v1 *,belami american lovers christian amp ryan triplegx v1,"['belami', 'american', 'lovers', 'christian', 'amp', 'ryan', 'triplegx', 'v1']"
1274018383164346368, @jmntical: * this is the start of their downfall *The downfall : https://t.co/NUnyBIfqqu,this is the start of their downfall the downfall,"['this', 'is', 'the', 'start', 'of', 'their', 'downfall', 'the', 'downfall']"
1274018386175946763," @VIPS_Delhi: #VipsDigitalEducation#VSLLS ,#VIPS organises Value Added Course on *Gender, Law and Society *For more details view…",vipsdigitaleducationvslls vips organises value added course on gender law and society for more details view,"['vipsdigitaleducationvslls', 'vips', 'organises', 'value', 'added', 'course', 'on', 'gender', 'law', 'and', 'society', 'for', 'more', 'details', 'view']"
1274018389929930753," @HumanityNext: Muslims not only killing non-Muslims .... They are destroying Churches, Temples, ...... Most attack on Hindu Temples ...…",muslims not only killing nonmuslims they are destroying churches temples most attack on hindu temples,"['muslims', 'not', 'only', 'killing', 'nonmuslims', 'they', 'are', 'destroying', 'churches', 'temples', 'most', 'attack', 'on', 'hindu', 'temples']"
1274018395097358338,@CATRAPOCALYPSE * chef's kiss *,chefs kiss,"['chefs', 'kiss']"
1274018399979540481,Purepacific....It's a lifestyle**#oceancleanup #cleanoceans #plasticfreeoceans #savetheocean #oceanconservation… https://t.co/d0g1S92LZu,purepacificits a lifestyleoceancleanup cleanoceans plasticfreeoceans savetheocean oceanconservation,"['purepacificits', 'a', 'lifestyleoceancleanup', 'cleanoceans', 'plasticfreeoceans', 'savetheocean', 'oceanconservation']"
1274018400826777601, @nochu_lex: . * 　　　 ✦     .     　⁺ 　 .First close your eyesDon’t say anythingI’ll steal your heart like magic. 　 　 ⁺        ⁺ 　　  …,first close your eyesdont say anythingill steal your heart like magic,"['first', 'close', 'your', 'eyesdont', 'say', 'anythingill', 'steal', 'your', 'heart', 'like', 'magic']"
1274018414349004801,@lady_vanity_ lmao this is all three of us * @MariaILopez_,lmao this is all three of us,"['lmao', 'this', 'is', 'all', 'three', 'of', 'us']"
1274018416752394240, @mvmeet: Congress tried to topple BJP govt in Manipur but:* BJP won the lone Rajya Sabha seat in Manipur with 28 votes* BJP candidat…,congress tried to topple bjp govt in manipur but bjp won the lone rajya sabha seat in manipur with votes bjp candidat,"['congress', 'tried', 'to', 'topple', 'bjp', 'govt', 'in', 'manipur', 'but', 'bjp', 'won', 'the', 'lone', 'rajya', 'sabha', 'seat', 'in', 'manipur', 'with', 'votes', 'bjp', 'candidat']"
1274018417297645568," @urbantomayto1: (pls rt🍅,)* give away, duper cute stuffs 🤙🏾(by @urbantomayto1 ):📍) link in mention na ka#แจกpng #goodnotes https:…",pls rt give away duper cute stuffs by link in mention na kapng goodnotes https,"['pls', 'rt', 'give', 'away', 'duper', 'cute', 'stuffs', 'by', 'link', 'in', 'mention', 'na', 'kapng', 'goodnotes', 'https']"
1274018418581221376, @klon: TBH doing support is one of the best ways to learn and develop a lot of useful skills in IT. Doing support I learned (thread):*…,tbh doing support is one of the best ways to learn and develop a lot of useful skills in it doing support i learned thread,"['tbh', 'doing', 'support', 'is', 'one', 'of', 'the', 'best', 'ways', 'to', 'learn', 'and', 'develop', 'a', 'lot', 'of', 'useful', 'skills', 'in', 'it', 'doing', 'support', 'i', 'learned', 'thread']"
1274018423740289024, @winterflower_vk: *𝒘𝒆 𝒂𝒓𝒆 𝒃𝒖𝒍𝒍𝒆𝒕𝒑𝒓𝒐𝒐𝒇: 𝒕𝒉𝒆 𝒆𝒕𝒆𝒓𝒏𝒂𝒍* *     .       *    .🌙      *    .  *            ☄️.    *      *    .      🌍*      .…,,[]
1274018430920863745,*spits out water * 😂,spits out water,"['spits', 'out', 'water']"
1274018441075228674,"* and she, I meant my director tried",and she i meant my director tried,"['and', 'she', 'i', 'meant', 'my', 'director', 'tried']"
1274018441192632320,I want you empty for Me,i want you empty for me,"['i', 'want', 'you', 'empty', 'for', 'me']"
1274018441712644098, @mvmeet: Congress tried to topple BJP govt in Manipur but:* BJP won the lone Rajya Sabha seat in Manipur with 28 votes* BJP candidat…,congress tried to topple bjp govt in manipur but bjp won the lone rajya sabha seat in manipur with votes bjp candidat,"['congress', 'tried', 'to', 'topple', 'bjp', 'govt', 'in', 'manipur', 'but', 'bjp', 'won', 'the', 'lone', 'rajya', 'sabha', 'seat', 'in', 'manipur', 'with', 'votes', 'bjp', 'candidat']"
1274018442144657410,"@dbongino @RandomTask_116 @POTUS @VP Read ""1984"" and THINK about it... #DoubleSpeak* War Is Peace* Freedom Is Sl… https://t.co/7QK2mswnbr",read and think about it doublespeak war is peace freedom is sl,"['read', 'and', 'think', 'about', 'it', 'doublespeak', 'war', 'is', 'peace', 'freedom', 'is', 'sl']"
1274018443516350464,They are sick in the head for spreading that false narrative,they are sick in the head for spreading that false narrative,"['they', 'are', 'sick', 'in', 'the', 'head', 'for', 'spreading', 'that', 'false', 'narrative']"
1274018444648701952, @nerdyter: * 𝖗𝖙 𝖉𝖒 #img20plus,img20plus,['img20plus']
